iter	Passed	Remaining
0	267	267153
1	268	134140
2	270	89749
3	271	67545
4	273	54332
5	275	45587
6	276	39279
7	278	34504
8	279	30773
9	280	27783
10	281	25338
11	283	23305
12	284	21583
13	286	20144
14	289	19029
15	291	17915
16	292	16933
17	294	16059
18	295	15277
19	297	14571
20	298	13933
21	300	13358
22	302	12832
23	304	12396
24	306	11947
25	307	11531
26	309	11145
27	310	10788
28	312	10456
29	318	10288
30	323	10102
31	325	9831
32	326	9575
33	328	9332
34	330	9100
35	334	8966
36	336	8755
37	339	8593
38	341	8411
39	343	8233
40	344	8063
41	349	7971
42	351	7816
43	352	7665
44	357	7580
45	358	7443
46	360	7312
47	364	7225
48	365	7102
49	367	6983
50	370	6887
51	371	6779
52	373	6677
53	375	6579
54	379	6512
55	380	6411
56	381	6313
57	383	6220
58	384	6133
59	386	6062
60	388	5982
61	398	6022
62	399	5945
63	401	5871
64	403	5803
65	405	5737
66	408	5693
67	411	5638
68	413	5579
69	415	5516
70	416	5453
71	418	5395
72	420	5338
73	425	5328
74	428	5289
75	431	5248
76	433	5190
77	434	5134
78	443	5168
79	444	5113
80	445	5058
81	447	5004
82	447	4945
83	448	4893
84	450	4844
85	451	4796
86	452	4748
87	456	4734
88	458	4689
89	459	4644
90	460	4601
91	461	4558
92	463	4516
93	464	4475
94	465	4436
95	466	4397
96	470	4379
97	471	4341
98	472	4303
99	473	4265
100	474	4227
101	476	4191
102	477	4156
103	478	4121
104	479	4086
105	480	4053
106	481	4019
107	482	3988
108	486	3973
109	487	3943
110	488	3912
111	489	3882
112	490	3852
113	491	3822
114	492	3793
115	494	3769
116	495	3740
117	497	3722
118	503	3724
119	505	3703
120	506	3680
121	507	3654
122	509	3632
123	510	3609
124	516	3617
125	518	3596
126	519	3572
127	521	3551
128	523	3534
129	524	3512
130	525	3488
131	526	3465
132	528	3443
133	531	3432
134	533	3418
135	534	3396
136	535	3375
137	537	3354
138	538	3333
139	539	3312
140	540	3291
141	541	3269
142	542	3250
143	543	3231
144	549	3237
145	550	3219
146	551	3199
147	552	3180
148	553	3162
149	554	3144
150	556	3126
151	557	3108
152	558	3090
153	562	3089
154	563	3072
155	564	3056
156	566	3040
157	567	3023
158	568	3007
159	569	2991
160	570	2973
161	572	2959
162	573	2945
163	578	2949
164	580	2935
165	581	2922
166	582	2907
167	584	2892
168	585	2877
169	586	2863
170	587	2849
171	589	2835
172	594	2841
173	595	2827
174	596	2813
175	598	2799
176	599	2785
177	600	2772
178	601	2758
179	602	2745
180	603	2731
181	606	2725
182	609	2719
183	610	2707
184	611	2695
185	613	2684
186	615	2674
187	616	2662
188	618	2653
189	628	2677
190	629	2666
191	631	2656
192	632	2645
193	634	2635
194	641	2647
195	642	2637
196	644	2626
197	645	2615
198	646	2604
199	648	2592
200	649	2581
201	650	2569
202	651	2559
203	655	2556
204	656	2546
205	657	2535
206	659	2524
207	660	2513
208	661	2503
209	663	2494
210	666	2491
211	670	2492
212	671	2482
213	673	2472
214	674	2461
215	675	2451
216	676	2441
217	677	2430
218	678	2421
219	680	2412
220	682	2404
221	684	2400
222	686	2391
223	687	2381
224	688	2372
225	689	2362
226	691	2353
227	692	2344
228	693	2336
229	695	2329
230	697	2321
231	699	2315
232	701	2307
233	702	2300
234	704	2292
235	705	2285
236	707	2278
237	721	2309
238	722	2301
239	724	2294
240	733	2309
241	734	2301
242	735	2292
243	737	2283
244	738	2275
245	739	2266
246	742	2262
247	744	2258
248	746	2250
249	747	2242
250	748	2234
251	749	2225
252	750	2217
253	752	2208
254	753	2200
255	754	2192
256	757	2190
257	760	2186
258	761	2178
259	762	2170
260	763	2162
261	765	2155
262	766	2147
263	804	2242
264	810	2246
265	811	2240
266	813	2233
267	815	2228
268	817	2221
269	825	2231
270	826	2224
271	829	2219
272	831	2215
273	833	2208
274	841	2217
275	843	2211
276	880	2298
277	883	2293
278	887	2293
279	889	2286
280	890	2279
281	892	2272
282	894	2265
283	895	2258
284	897	2252
285	900	2246
286	903	2245
287	905	2239
288	907	2232
289	908	2225
290	910	2218
291	912	2212
292	945	2280
293	948	2277
294	950	2272
295	952	2265
296	953	2258
297	955	2251
298	957	2243
299	958	2236
300	960	2230
301	969	2240
302	972	2236
303	973	2229
304	975	2221
305	976	2215
306	983	2220
307	985	2213
308	986	2207
309	1002	2232
310	1004	2225
311	1005	2218
